image_path,question,GT,Pred,true,pred,sub_tag,sub_sub_tag,main_tag
164_1950.jpg,How many tools are visible in this scene?,zero,one,2,3,No_Cue,Instrument_Count,Visual_QA
164_1950.jpg,Are both the cystic duct and cystic artery identifiable as they connect to the gallbladder?,Yes,No,0,1,No_Cue,CVS,Reasoning_QA
164_1950.jpg,Is the hepatocystic triangle cleared and adequately exposed for visibility?,Yes,No,0,1,No_Cue,CVS,Reasoning_QA
164_1950.jpg,Is the lower third of the gallbladder detached from the liver bed?,No,No,1,1,No_Cue,CVS,Reasoning_QA
164_1950.jpg,Is the Critical View of Safety (CVS) achieved in this scene?,No,No,1,1,No_Cue,CVS,Reasoning_QA
164_2700.jpg,How many tools are visible in this scene?,one,one,3,3,No_Cue,Instrument_Count,Visual_QA
164_2700.jpg,Are both the cystic duct and cystic artery identifiable as they connect to the gallbladder?,Yes,No,0,1,No_Cue,CVS,Reasoning_QA
164_2700.jpg,Is the hepatocystic triangle cleared and adequately exposed for visibility?,Yes,No,0,1,No_Cue,CVS,Reasoning_QA
164_2700.jpg,Is the lower third of the gallbladder detached from the liver bed?,No,No,1,1,No_Cue,CVS,Reasoning_QA
164_2700.jpg,Is the Critical View of Safety (CVS) achieved in this scene?,No,No,1,1,No_Cue,CVS,Reasoning_QA
164_3450.jpg,How many tools are visible in this scene?,one,two,3,4,No_Cue,Instrument_Count,Visual_QA
164_3450.jpg,Are both the cystic duct and cystic artery identifiable as they connect to the gallbladder?,Yes,No,0,1,No_Cue,CVS,Reasoning_QA
164_3450.jpg,Is the hepatocystic triangle cleared and adequately exposed for visibility?,Yes,No,0,1,No_Cue,CVS,Reasoning_QA
164_3450.jpg,Is the lower third of the gallbladder detached from the liver bed?,Yes,No,0,1,No_Cue,CVS,Reasoning_QA
164_3450.jpg,Is the Critical View of Safety (CVS) achieved in this scene?,Yes,No,0,1,No_Cue,CVS,Reasoning_QA
165_23650.jpg,How many tools are visible in this scene?,one,two,3,4,No_Cue,Instrument_Count,Visual_QA
165_23650.jpg,Are both the cystic duct and cystic artery identifiable as they connect to the gallbladder?,Yes,No,0,1,No_Cue,CVS,Reasoning_QA
165_23650.jpg,Is the hepatocystic triangle cleared and adequately exposed for visibility?,No,No,1,1,No_Cue,CVS,Reasoning_QA
165_23650.jpg,Is the lower third of the gallbladder detached from the liver bed?,Yes,No,0,1,No_Cue,CVS,Reasoning_QA
165_23650.jpg,Is the Critical View of Safety (CVS) achieved in this scene?,No,No,1,1,No_Cue,CVS,Reasoning_QA
165_24400.jpg,How many tools are visible in this scene?,two,two,4,4,No_Cue,Instrument_Count,Visual_QA
165_24400.jpg,Are both the cystic duct and cystic artery identifiable as they connect to the gallbladder?,Yes,No,0,1,No_Cue,CVS,Reasoning_QA
165_24400.jpg,Is the hepatocystic triangle cleared and adequately exposed for visibility?,No,No,1,1,No_Cue,CVS,Reasoning_QA
165_24400.jpg,Is the lower third of the gallbladder detached from the liver bed?,No,No,1,1,No_Cue,CVS,Reasoning_QA
165_24400.jpg,Is the Critical View of Safety (CVS) achieved in this scene?,No,No,1,1,No_Cue,CVS,Reasoning_QA
166_12950.jpg,How many tools are visible in this scene?,three,two,5,4,No_Cue,Instrument_Count,Visual_QA
