image_path,question,GT,Pred,sub_tag,sub_sub_tag
164_2700_bbox_lt.jpg,Which tool is in the red box?,grasper,grasper,Box_Cue,Instrument
164_2700_bbox_lt.jpg,What action is the tool in the red box performing?,retract,retract,Box_Cue,Action
164_2700_bbox_lt.jpg,Which anatomical structure is the tool in the red box interacting with?,gallbladder,gallbladder,Box_Cue,Target
164_2700_bbox_lt.jpg,Which anatomical structure lies immediately below of the structure that the tool in the red box is acting on?,cystic_duct,cystic_duct,Box_Cue,anatomy_hop
164_2700_bbox_lt.jpg,Which anatomical structure lies immediately below of the structure that the tool in the red box is acting on?,calot_triangle,cystic_duct,Box_Cue,anatomy_hop
164_3450_bbox_rt.jpg,Which tool is in the red box?,clipper,clipper,Box_Cue,Instrument
164_3450_bbox_rt.jpg,What action is the tool in the red box performing?,clip,clip,Box_Cue,Action
164_3450_bbox_rt.jpg,Which anatomical structure is the tool in the red box interacting with?,cystic_artery,cystic_artery,Box_Cue,Target
164_3450_bbox_rt.jpg,Which anatomical structure lies immediately below of the structure that the tool in the red box is acting on?,calot_triangle,cystic_duct,Box_Cue,anatomy_hop
164_3450_bbox_rt.jpg,Which anatomical structure lies immediately below of the structure that the tool in the red box is acting on?,cystic_duct,cystic_duct,Box_Cue,anatomy_hop
165_23650_bbox_lt.jpg,Which tool is in the red box?,grasper,grasper,Box_Cue,Instrument
165_23650_bbox_lt.jpg,What action is the tool in the red box performing?,retract,retract,Box_Cue,Action
165_23650_bbox_lt.jpg,Which anatomical structure is the tool in the red box interacting with?,gallbladder,gallbladder,Box_Cue,Target
165_23650_bbox_lt.jpg,Which anatomical structure lies immediately right of the structure that the tool in the red box is acting on?,cystic_duct,cystic_artery,Box_Cue,anatomy_hop
165_23650_bbox_lt.jpg,Which anatomical structure lies immediately right of the structure that the tool in the red box is acting on?,calot_triangle,cystic_artery,Box_Cue,anatomy_hop
165_24400_bbox_lt.jpg,Which tool is in the red box?,grasper,grasper,Box_Cue,Instrument
165_24400_bbox_lt.jpg,What action is the tool in the red box performing?,retract,retract,Box_Cue,Action
165_24400_bbox_lt.jpg,Which anatomical structure is the tool in the red box interacting with?,gallbladder,gallbladder,Box_Cue,Target
165_24400_bbox_lt.jpg,Which anatomical structure lies immediately right of the structure that the tool in the red box is acting on?,cystic_duct,cystic_artery,Box_Cue,anatomy_hop
165_24400_bbox_lt.jpg,Which anatomical structure lies immediately right of the structure that the tool in the red box is acting on?,calot_triangle,cystic_artery,Box_Cue,anatomy_hop
165_24400_bbox_rt.jpg,Which tool is in the red box?,clipper,grasper,Box_Cue,Instrument
165_24400_bbox_rt.jpg,What action is the tool in the red box performing?,clip,clip,Box_Cue,Action
